Network Size, Success Rate, Avg Time to Mash a Region, 
50, 1.0, 0.00029000043869, 
100, 1.0, 0.00182000160217, 
300, 0.99, 0.00289000272751, 
400, 0.98, 0.00516999959946, 
500, 1.0, 0.00362999916077, 
600, 0.98, 0.00697000026703, 
700, 0.94, 0.00732000112534, 
800, 0.99, 0.00454999685287, 
900, 0.92, 0.00828000068665, 
1000, 0.92, 0.00796999692917, 
2000, 0.95, 0.0108800005913, 
3000, 0.88, 0.0154799985886, 
4000, 0.74, 0.0217000007629, 
5000, 0.71, 0.0236800003052, 
10000, 0.67, 0.0274100017548, 
15000, 0.5, 0.0339300012589, 
20000, 0.37, 0.03625, 
25000, 0.39, 0.0359800004959, 
50000, 0.23, 0.0416499996185, 
75000, 0.2, 0.043259999752, 
100000, 0.13, 0.0447199964523, 
500000, 0.04, 0.0477399992943, 
1000000, 0.03, 0.0467500019073, 
5000000, 0.0, 0.0476599979401, 
10000000, 0.0, 0.0479099988937, 
20000000, 0.0, 0.0476200008392, 
