IPs, Network Size, % Regions covered, Sybils/Region, 
1, 50, 1.0, 284.96, 
1, 100, 0.99, 162.23, 
1, 300, 0.976666666667, 54.38, 
1, 400, 0.985, 40.9525, 
1, 500, 0.974, 32.74, 
1, 600, 0.963333333333, 27.2866666667, 
1, 700, 0.96, 23.3871428571, 
1, 800, 0.94625, 20.47375, 
1, 900, 0.944444444444, 18.1833333333, 
1, 1000, 0.941, 16.378, 
1, 2000, 0.895, 8.184, 
1, 3000, 0.839333333333, 5.45933333333, 
1, 4000, 0.799, 4.094, 
1, 5000, 0.7748, 3.2762, 
1, 10000, 0.618, 1.6383, 
1, 15000, 0.5206, 1.09226666667, 
1, 20000, 0.45325, 0.8192, 
1, 25000, 0.397, 0.65536, 
1, 50000, 0.24912, 0.32766, 
1, 75000, 0.179693333333, 0.218453333333, 
1, 100000, 0.14085, 0.16384, 
1, 500000, 0.031734, 0.032768, 
3, 50, 1.0, 982.84, 
3, 100, 1.0, 491.09, 
3, 300, 0.993333333333, 163.076666667, 
3, 400, 0.98, 122.5375, 
3, 500, 0.986, 98.294, 
3, 600, 0.978333333333, 81.5, 
3, 700, 0.987142857143, 69.9357142857, 
3, 800, 0.98, 61.43875, 
3, 900, 0.983333333333, 54.5566666667, 
3, 1000, 0.982, 49.106, 
3, 2000, 0.9645, 24.576, 
3, 3000, 0.946333333333, 16.383, 
3, 4000, 0.92225, 12.2875, 
3, 5000, 0.9076, 9.8272, 
3, 10000, 0.8326, 4.9146, 
3, 15000, 0.7688, 3.27673333333, 
3, 20000, 0.7107, 2.4576, 
3, 25000, 0.66556, 1.96596, 
3, 50000, 0.49682, 0.98304, 
3, 75000, 0.396173333333, 0.65536, 
3, 100000, 0.32958, 0.49152, 
3, 500000, 0.089424, 0.098304, 
5, 50, 1.0, 1630.02, 
5, 100, 0.99, 813.63, 
5, 300, 1.0, 272.47, 
5, 400, 0.9975, 204.535, 
5, 500, 0.994, 163.654, 
5, 600, 0.991666666667, 136.291666667, 
5, 700, 0.994285714286, 116.652857143, 
5, 800, 0.98875, 102.2975, 
5, 900, 0.992222222222, 90.9955555556, 
5, 1000, 0.991, 81.904, 
5, 2000, 0.9795, 40.949, 
5, 3000, 0.968, 27.3026666667, 
5, 4000, 0.9565, 20.477, 
5, 5000, 0.9444, 16.3768, 
5, 10000, 0.8915, 8.1918, 
5, 15000, 0.838733333333, 5.46106666667, 
5, 20000, 0.80225, 4.09555, 
5, 25000, 0.763, 3.2766, 
5, 50000, 0.62338, 1.6384, 
5, 75000, 0.519666666667, 1.09226666667, 
5, 100000, 0.45097, 0.81919, 
5, 500000, 0.140626, 0.16384, 
7, 50, 1.0, 2268.36, 
7, 100, 1.0, 1140.26, 
7, 300, 1.0, 380.576666667, 
7, 400, 1.0, 284.1675, 
7, 500, 0.996, 229.21, 
7, 600, 0.996666666667, 190.948333333, 
7, 700, 0.991428571429, 163.681428571, 
7, 800, 0.9925, 143.30375, 
7, 900, 0.996666666667, 127.376666667, 
7, 1000, 0.985, 114.359, 
7, 2000, 0.9815, 57.321, 
7, 3000, 0.975333333333, 38.2203333333, 
7, 4000, 0.9595, 28.65875, 
7, 5000, 0.958, 22.931, 
7, 10000, 0.921, 11.4674, 
7, 15000, 0.883, 7.64566666667, 
7, 20000, 0.85215, 5.73345, 
7, 25000, 0.8204, 4.58716, 
7, 50000, 0.70058, 2.29372, 
7, 75000, 0.605346666667, 1.52917333333, 
7, 100000, 0.53339, 1.14688, 
7, 500000, 0.18672, 0.229372, 
9, 50, 1.0, 2765.82, 
9, 100, 1.0, 1445.3, 
9, 300, 0.996666666667, 490.79, 
9, 400, 0.9975, 367.295, 
9, 500, 0.998, 294.28, 
9, 600, 0.993333333333, 245.735, 
9, 700, 0.998571428571, 210.375714286, 
9, 800, 0.99375, 184.04375, 
9, 900, 0.995555555556, 163.292222222, 
9, 1000, 0.995, 147.412, 
9, 2000, 0.9855, 73.712, 
9, 3000, 0.985666666667, 49.139, 
9, 4000, 0.97825, 36.84525, 
9, 5000, 0.9684, 29.4834, 
9, 10000, 0.9356, 14.7441, 
9, 15000, 0.900066666667, 9.82966666667, 
9, 20000, 0.88115, 7.3728, 
9, 25000, 0.85812, 5.89816, 
9, 50000, 0.74698, 2.94912, 
9, 75000, 0.665773333333, 1.96608, 
9, 100000, 0.59403, 1.47454, 
9, 500000, 0.227862, 0.29491, 
11, 50, 1.0, 3584.58, 
11, 100, 1.0, 1795.99, 
11, 300, 0.993333333333, 594.626666667, 
11, 400, 1.0, 450.205, 
11, 500, 1.0, 359.76, 
11, 600, 0.996666666667, 299.581666667, 
11, 700, 0.997142857143, 257.065714286, 
11, 800, 0.9975, 225.24, 
11, 900, 0.993333333333, 200.198888889, 
11, 1000, 0.991, 180.109, 
11, 2000, 0.99, 90.0955, 
11, 3000, 0.982333333333, 60.0706666667, 
11, 4000, 0.98, 45.0385, 
11, 5000, 0.9718, 36.0448, 
11, 10000, 0.9478, 18.0208, 
11, 15000, 0.9232, 12.0144, 
11, 20000, 0.89975, 9.01065, 
11, 25000, 0.87604, 7.20884, 
11, 50000, 0.7847, 3.60446, 
11, 75000, 0.707026666667, 2.40290666667, 
11, 100000, 0.64294, 1.80224, 
11, 500000, 0.26507, 0.360448, 
13, 50, 1.0, 4236.1, 
