IPs, Network Size,  \% links occluded, Occlusion per node, 
1, 500, 0.9684, 154.944, 
1, 1000, 0.94186875, 150.699, 
1, 5000, 0.767865, 122.8584, 
1, 10000, 0.618480625, 98.9569, 
1, 50000, 0.246647875, 39.46366, 
1, 100000, 0.141753625, 22.68058, 
3, 500, 0.975625, 156.1, 
3, 1000, 0.97915625, 156.665, 
3, 5000, 0.91382625, 146.2122, 
3, 10000, 0.83425, 133.48, 
3, 50000, 0.495552, 79.28832, 
3, 100000, 0.3286290625, 52.58065, 
5, 500, 0.9940375, 159.046, 
5, 1000, 0.988725, 158.196, 
5, 5000, 0.943085, 150.8936, 
5, 10000, 0.894415, 143.1064, 
5, 50000, 0.619427125, 99.10834, 
5, 100000, 0.4488916875, 71.82267, 
7, 500, 0.9979125, 159.666, 
7, 1000, 0.99091875, 158.547, 
7, 5000, 0.95279125, 152.4466, 
7, 10000, 0.919071875, 147.0515, 
7, 50000, 0.696421125, 111.42738, 
7, 100000, 0.5337635625, 85.40217, 
9, 500, 0.999675, 159.948, 
9, 1000, 0.9948125, 159.17, 
9, 5000, 0.9709525, 155.3524, 
9, 10000, 0.935495625, 149.6793, 
9, 50000, 0.74622375, 119.3958, 
9, 100000, 0.5936118125, 94.97789, 
